0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:07:26 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:07:26 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1943
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:08:26 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:08:26 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1943
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:11:03 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:11:03 +0530] "GET /JSHOW/css/myStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:11:03 +0530] "GET /JSHOW/images/techLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:11:03 +0530] "GET /JSHOW/laptops/apple/apple1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:11:03 +0530] "GET /JSHOW/laptops/dell/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:11:03 +0530] "GET /JSHOW/laptops/hp/hp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:11:03 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1943
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:11:11 +0530] "GET /JSHOW/laptops/dell/dell3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:14:42 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:14:42 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:14:43 +0530] "GET /JSHOW/laptops/apple/apple2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:16:53 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:16:53 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:16:54 +0530] "GET /JSHOW/laptops/apple/apple3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:20:14 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:20:14 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:22:07 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:22:07 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:22:53 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:22:53 +0530] "GET /JSHOW/css/myStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:22:53 +0530] "GET /JSHOW/images/techLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:22:53 +0530] "GET /JSHOW/laptops/apple/apple1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:22:53 +0530] "GET /JSHOW/laptops/hp/hp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:22:53 +0530] "GET /JSHOW/laptops/dell/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:22:53 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:23:10 +0530] "GET /JSHOW/laptops/hp/hp2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:31:08 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:31:08 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:31:09 +0530] "GET /JSHOW/laptops/apple/apple2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:31:16 +0530] "GET /JSHOW/laptops/dell/dell3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:31:19 +0530] "GET /JSHOW/laptops/apple/apple3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:31:20 +0530] "GET /JSHOW/laptops/dell/dell2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:31:20 +0530] "GET /JSHOW/laptops/hp/hp3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:31:23 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:31:23 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:31:57 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:31:57 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2402
